2023-03-11 15:45:38.110 [info] Configuration changed
2023-03-11 15:45:38.121 [info] Configuration changed
2023-03-11 15:45:38.587 [info] Configuration changed
2023-03-11 15:45:41.361 [info] Configuration changed
2023-03-11 15:46:06.645 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/frontend/src/scenes/Forms/SignInForm.jsx
2023-03-11 15:48:34.230 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/frontend/src/scenes/Forms/SignInForm.jsx closed
2023-03-11 15:48:34.279 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/nginx/proxy.conf
2023-03-11 15:54:41.320 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/nginx/proxy.conf closed
2023-03-11 15:54:41.357 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/auth.js
2023-03-11 15:54:47.006 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/auth.js closed
2023-03-11 15:54:47.038 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/users.js
2023-03-11 15:54:50.837 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/users.js closed
2023-03-11 15:54:50.871 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/auth.js
2023-03-11 15:59:26.144 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/auth.js closed
2023-03-11 15:59:26.177 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/nginx/proxy.conf
2023-03-11 15:59:30.040 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/nginx/proxy.conf closed
2023-03-11 15:59:30.075 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/docker-compose.yml
2023-03-11 16:02:33.652 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/docker-compose.yml closed
2023-03-11 16:02:33.685 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/subGreddiits.js
2023-03-11 16:02:48.754 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/subGreddiits.js closed
2023-03-11 16:02:48.796 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/Report.js
2023-03-11 16:02:51.922 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/Report.js closed
2023-03-11 16:02:51.959 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/SubGreddiit.js
2023-03-11 16:02:53.400 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/SubGreddiit.js closed
2023-03-11 16:02:53.460 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/Post.js
2023-03-11 16:02:54.356 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/Post.js closed
2023-03-11 16:02:54.397 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/Comment.js
2023-03-11 16:03:13.946 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/Comment.js closed
2023-03-11 16:03:13.985 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/auth.js
2023-03-11 16:03:20.069 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/auth.js closed
2023-03-11 16:03:20.110 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/posts.js
2023-03-11 16:03:26.209 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/posts.js closed
2023-03-11 16:03:26.239 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/subGreddiits.js
2023-03-11 16:04:08.375 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/subGreddiits.js closed
2023-03-11 16:04:08.418 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/SubGreddiit.js
2023-03-11 16:04:24.417 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/SubGreddiit.js closed
2023-03-11 16:04:24.464 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/subGreddiits.js
2023-03-11 16:04:35.637 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/subGreddiits.js closed
2023-03-11 16:04:35.685 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/routes/subGreddiits.js
2023-03-11 16:04:53.890 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/routes/subGreddiits.js closed
2023-03-11 16:04:53.943 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/models/Comment.js
2023-03-11 16:04:56.403 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/models/Comment.js closed
2023-03-11 16:04:56.453 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/controllers/auth.js
2023-03-11 16:04:58.586 [info] /home/devilunraveled/DASS/Assignment 1/2021101049/backend/controllers/auth.js closed
2023-03-11 16:04:58.645 [info] Active editor: file:///home/devilunraveled/DASS/Assignment%201/2021101049/backend/index.js
