2023-04-25 09:12:11.866 [info] Log level: Info
2023-04-25 09:12:11.866 [info] Validating found git in: "git"
2023-04-25 09:12:11.866 [info] Using git "2.40.0" from "git"
2023-04-25 09:12:11.869 [info] > git rev-parse --show-toplevel [36ms]
2023-04-25 09:12:11.902 [info] > git rev-parse --show-toplevel [11ms]
2023-04-25 09:12:11.921 [info] > git rev-parse --show-toplevel [14ms]
2023-04-25 09:12:11.930 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 09:12:12.300 [info] > git rev-parse --show-toplevel [364ms]
2023-04-25 09:12:12.421 [info] > git rev-parse --show-toplevel [114ms]
2023-04-25 09:12:12.465 [info] > git rev-parse --show-toplevel [36ms]
2023-04-25 09:12:12.493 [info] > git rev-parse --show-toplevel [20ms]
2023-04-25 09:12:12.555 [info] > git rev-parse --show-toplevel [40ms]
2023-04-25 09:12:12.619 [info] > git rev-parse --show-toplevel [56ms]
2023-04-25 09:12:12.645 [info] > git rev-parse --show-toplevel [11ms]
2023-04-25 09:12:59.322 [info] > git rev-parse --show-toplevel [19ms]
